INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at hudson.tasks.test.TestResultProjectAction.doTrend(TestResultProjectAction.java:97)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:39)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at java.lang.reflect.Method.invoke(Method.java:597)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function$InstanceFunction.invoke(Function.java:298)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function.bindAndInvoke(Function.java:161)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Function.bindAndInvokeAndServeResponse(Function.java:96)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.MetaClass$1.doDispatch(MetaClass.java:120)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.NameBasedDispatcher.dispatch(NameBasedDispatcher.java:53)
INFO   | jvm 1    | 2014/01/30 14:46:23 | 	at org.kohsuke.stapler.Stapler.tryInvoke(Stapler.java:728)
STATUS | wrapper  | 2014/01/30 14:46:41 | Launching a JVM...
